1750a						1750a-unknown-none
shbe						shbe-unknown-none
shbe-elf					shbe-unknown-elf
sheb						sheb-unknown-none
sheb-elf					sheb-unknown-elf
shl						shl-unknown-none
shl-elf						shl-unknown-elf
shle						shle-unknown-none
shle-elf					shle-unknown-elf
simso-wrs					sparclite-wrs-vxworks
sparc						sparc-sun-sunos4.1.1
sparc-haiku					sparc-unknown-haiku
sparc-zephyr					sparc-unknown-zephyr
sparc64						sparc64-unknown-none
sparc64-linux					sparc64-unknown-linux-gnu
sparc64b					sparc64b-unknown-none
sparc64b-linux					sparc64b-unknown-linux-gnu
sparc64v					sparc64v-unknown-none
sparc64v-elf					sparc64v-unknown-elf
sparc64v-solaris2.9				sparc64v-unknown-solaris2.9
sparc86x					sparc86x-unknown-none
sparclet					sparclet-unknown-none
sparclite					sparclite-unknown-none
sparclite-wrs					sparclite-wrs-vxworks
sparcv8						sparcv8-unknown-none
sparcv9						sparcv9-unknown-none
sparcv9b					sparcv9b-unknown-none
sparcv9v					sparcv9v-unknown-none
sparcv9v-elf					sparcv9v-unknown-elf
sparcv9v-solaris2.9				sparcv9v-unknown-solaris2.9
sps7						m68k-bull-sysv2
spu						spu-unknown-elf
spu-elf						spu-unknown-elf
spu-linux					spu-unknown-linux-gnu
st2000						m68k-tandem-none
stratus						i860-stratus-sysv4
strongarm					arm-unknown-none
strongarm-none-elf				arm-none-elf
sun2						m68000-sun-sunos3
sun2os3						m68000-sun-sunos3
sun2os4						m68000-sun-sunos4
sun3						m68k-sun-sunos4.1.1
sun386						i386-sun-sunos4.0.2
sun386i						i386-sun-sunos4.0.2
sun3os3						m68k-sun-sunos3
sun3os4						m68k-sun-sunos4
sun4						sparc-sun-sunos4.1.1
sun4os3						sparc-sun-sunos3
sun4os4						sparc-sun-sunos4
sun4sol2					sparc-sun-solaris2
sv1						sv1-cray-unicos
symmetry					i386-sequent-bsd
t3e						alphaev5-cray-unicos
t90						t90-cray-unicos
tahoe						tahoe-unknown-none
thumb						arm-unknown-none
thumb-none-elf					arm-none-elf
thumbv7						thumbv7-unknown-none
tic4x						tic4x-unknown-coff
tic54x						tic54x-unknown-coff
tic54x-coff					tic54x-unknown-coff
tic54x-none-coff				tic54x-none-coff
tic54x-unknown-coff				tic54x-unknown-coff
tic55x						tic55x-unknown-coff
tic55x-coff					tic55x-unknown-coff
tic55x-none-coff				tic55x-none-coff
tic55x-unknown-coff				tic55x-unknown-coff
tic6x						tic6x-unknown-coff
tic6x-coff					tic6x-unknown-coff
tic6x-elf					tic6x-unknown-elf
tic6x-none-coff					tic6x-none-coff
tic6x-none-elf					tic6x-none-elf
tic6x-uclinux					tic6x-unknown-uclinux
tic6x-unknown-coff				tic6x-unknown-coff
tic6x-unknown-elf				tic6x-unknown-elf
tic80						tic80-unknown-none
tile						tile-unknown-linux-gnu
tile-linux					tile-unknown-linux-gnu
tile-unknown-linux				tile-unknown-linux-gnu
tile64						tile64-unknown-linux-gnu
tilegx						tilegx-unknown-linux-gnu
tilegx-linux					tilegx-unknown-linux-gnu
tilegx-unknown-linux				tilegx-unknown-linux-gnu
toad1						pdp10-xkl-tops20
tower						m68k-ncr-sysv
tower-32					m68k-ncr-sysv
tpf						s390x-ibm-tpf
tron						tron-unknown-none
ubicom32					ubicom32-unknown-none
ubicom32-elf					ubicom32-unknown-elf
udi29k						a29k-amd-udi
ultra3						a29k-nyu-sym1
umax						ns32k-encore-bsd
unixpc						m68000-att-sysv
unos						m68k-crds-unos
v850						v850-unknown-none
v850-elf					v850-unknown-elf
v850e						v850e-unknown-none
v850e-elf					v850e-unknown-elf
v850e1						v850e1-unknown-none
v850e1-elf					v850e1-unknown-elf
v850e2						v850e2-unknown-none
v850e2-elf					v850e2-unknown-elf
v850e2v3					v850e2v3-unknown-none
v850e2v3-elf					v850e2v3-unknown-elf
v850es						v850es-unknown-none
v850es-elf					v850es-unknown-elf
vax						vax-dec-ultrix4.2
vaxv						vax-dec-sysv
visium						visium-unknown-none
visium-elf					visium-unknown-elf
vms						vax-dec-vms
vpp						f301-fujitsu-uxpv
vsta						i386-pc-vsta
vx						f301-fujitsu-uxpv
vxworks29k					a29k-wrs-vxworks
vxworks68					m68k-wrs-vxworks
vxworks960					i960-wrs-vxworks
w65						w65-wdc-none
w89k						hppa1.1-winbond-proelf
wasm32						wasm32-unknown-none
wasm32-emscripten				wasm32-unknown-emscripten
wasm32-wasi					wasm32-unknown-wasi
wasm64-emscripten				wasm64-unknown-emscripten
wasm64-wasi					wasm64-unknown-wasi
we32k						we32k-att-sysv
x64						x86_64-pc-none
x64-linux					x86_64-pc-linux-gnu
x86						x86-unknown-none
x86_64-cygwin					x86_64-pc-cygwin
x86_64-dicos					x86_64-pc-dicos
x86_64-ericsson-dicos				x86_64-ericsson-dicos
x86_64-fuchsia					x86_64-pc-fuchsia
x86_64-genode					x86_64-pc-genode
x86_64-glidix					x86_64-pc-glidix
x86_64-linux-relibc				x86_64-pc-linux-relibc
x86_64-nto					x86_64-pc-nto-qnx
x86_64-os108					x86_64-pc-os108
x86_64-pc-ptx					x86_64-pc-ptx
x86_64-ptx					x86_64-pc-ptx
x86_64-qnx					x86_64-pc-qnx
x86_64-redox					x86_64-pc-redox
x86_64-secbsd					x86_64-pc-secbsd
x86_64-sortix					x86_64-pc-sortix
x86_64-twizzler				x86_64-pc-twizzler
x86_64-unknown-ptx				x86_64-sequent-ptx
x86_64-windows					x86_64-pc-windows
x86_64-wrs-vxworks				x86_64-wrs-vxworks
x86_64-wrs-vxworks-simlinux			x86_64-wrs-vxworks-simlinux
x86_64-wrs-vxworks-simwindows			x86_64-wrs-vxworks-simwindows
x86_64-zephyr					x86_64-unknown-zephyr
xbox						i686-pc-mingw32
xc16x						xc16x-unknown-none
xc16x-elf					xc16x-unknown-elf
xgate						xgate-unknown-none
xps						xps100-honeywell-none
xps100						xps100-honeywell-none
xscale						arm-unknown-none
xscale-none-elf					arm-none-elf
xscaleeb					armeb-unknown-none
xscaleeb-none-elf				armeb-none-elf
xscaleel					armel-unknown-none
xscaleel-none-elf				armel-none-elf
xstormy16					xstormy16-unknown-none
xtensa						xtensa-unknown-none
xtensa-elf					xtensa-unknown-elf
xtensa-linux					xtensa-unknown-linux-gnu
xtensa-zephyr					xtensa-unknown-zephyr
xtensa_dc232b-linux				xtensa_dc232b-unknown-linux-gnu
ymp						ymp-cray-unicos
z80						z80-unknown-none
z80-coff					z80-unknown-coff
z8k						z8k-unknown-none
